method_name,metric,r_lo,r_hi,slope
regime_policy,Non0_F1_score,0.15,0.2,-0.5059999999999973
regime_policy,Non0_F1_score,0.2,0.25,0.20599999999999735
regime_policy,Non0_F1_score,0.25,0.3,-0.4159999999999987
regime_policy,Non0_F1_score,0.3,0.35,-0.5620000000000004
regime_policy,Non0_F1_score,0.35,0.4,-0.44399999999999956
regime_policy,Non0_F1_score,0.4,0.45,-0.2840000000000021
regime_policy,Non0_F1_score,0.45,0.5,-0.8019999999999985
regime_policy,Non0_F1_score,0.5,0.55,0.4760000000000004
regime_policy,Non0_F1_score,0.55,0.6,-0.4089999999999999
regime_policy,Mult_acc_5,0.0,0.1,-0.2926666666666661
regime_policy,Mult_acc_5,0.1,0.15,-0.5573333333333342
regime_policy,Mult_acc_5,0.15,0.2,-0.7190000000000005
regime_policy,Mult_acc_5,0.2,0.25,-0.37899999999999945
regime_policy,Mult_acc_5,0.25,0.3,0.8360000000000003
regime_policy,Mult_acc_5,0.3,0.35,-2.110000000000001
regime_policy,Mult_acc_5,0.35,0.4,0.3020000000000009
regime_policy,Mult_acc_5,0.4,0.45,-0.6320000000000005
regime_policy,Mult_acc_5,0.45,0.5,-0.8940000000000006
regime_policy,Mult_acc_5,0.5,0.55,0.7879999999999991
regime_policy,Mult_acc_5,0.55,0.6,-0.5990000000000003
regime_policy,Mult_acc_7,0.0,0.1,-0.45500000000000096
regime_policy,Mult_acc_7,0.1,0.15,-0.427333333333333
