method_name,metric,r_lo,r_hi,slope
regime_policy,Has0_acc_2,0.4,0.45,
regime_policy,Has0_acc_2,0.45,0.5,
regime_policy,Has0_acc_2,0.5,0.55,
regime_policy,Has0_acc_2,0.55,0.6,
regime_policy,Has0_F1_score,0.0,0.1,0.36599999999999966
regime_policy,Has0_F1_score,0.1,0.15,
regime_policy,Has0_F1_score,0.15,0.2,
regime_policy,Has0_F1_score,0.2,0.25,
regime_policy,Has0_F1_score,0.25,0.3,
regime_policy,Has0_F1_score,0.3,0.35,
regime_policy,Has0_F1_score,0.35,0.4,
regime_policy,Has0_F1_score,0.4,0.45,
regime_policy,Has0_F1_score,0.45,0.5,
regime_policy,Has0_F1_score,0.5,0.55,
regime_policy,Has0_F1_score,0.55,0.6,
regime_policy,Non0_acc_2,0.0,0.1,0.031999999999999806
regime_policy,Non0_acc_2,0.1,0.15,
regime_policy,Non0_acc_2,0.15,0.2,
regime_policy,Non0_acc_2,0.2,0.25,
regime_policy,Non0_acc_2,0.25,0.3,
regime_policy,Non0_acc_2,0.3,0.35,
regime_policy,Non0_acc_2,0.35,0.4,
regime_policy,Non0_acc_2,0.4,0.45,
regime_policy,Non0_acc_2,0.45,0.5,
regime_policy,Non0_acc_2,0.5,0.55,
regime_policy,Non0_acc_2,0.55,0.6,
regime_policy,Non0_F1_score,0.0,0.1,0.049000000000001265
regime_policy,Non0_F1_score,0.1,0.15,
regime_policy,Non0_F1_score,0.15,0.2,
regime_policy,Non0_F1_score,0.2,0.25,
regime_policy,Non0_F1_score,0.25,0.3,
regime_policy,Non0_F1_score,0.3,0.35,
regime_policy,Non0_F1_score,0.35,0.4,
regime_policy,Non0_F1_score,0.4,0.45,
regime_policy,Non0_F1_score,0.45,0.5,
regime_policy,Non0_F1_score,0.5,0.55,
regime_policy,Non0_F1_score,0.55,0.6,
regime_policy,Mult_acc_5,0.0,0.1,-0.3939999999999999
regime_policy,Mult_acc_5,0.1,0.15,
regime_policy,Mult_acc_5,0.15,0.2,
regime_policy,Mult_acc_5,0.2,0.25,
regime_policy,Mult_acc_5,0.25,0.3,
regime_policy,Mult_acc_5,0.3,0.35,
regime_policy,Mult_acc_5,0.35,0.4,
regime_policy,Mult_acc_5,0.4,0.45,
regime_policy,Mult_acc_5,0.45,0.5,
regime_policy,Mult_acc_5,0.5,0.55,
regime_policy,Mult_acc_5,0.55,0.6,
regime_policy,Mult_acc_7,0.0,0.1,-0.32199999999999895
regime_policy,Mult_acc_7,0.1,0.15,
regime_policy,Mult_acc_7,0.15,0.2,
regime_policy,Mult_acc_7,0.2,0.25,
regime_policy,Mult_acc_7,0.25,0.3,
regime_policy,Mult_acc_7,0.3,0.35,
regime_policy,Mult_acc_7,0.35,0.4,
regime_policy,Mult_acc_7,0.4,0.45,
regime_policy,Mult_acc_7,0.45,0.5,
regime_policy,Mult_acc_7,0.5,0.55,
regime_policy,Mult_acc_7,0.55,0.6,
regime_policy,MAE,0.0,0.1,0.4679999999999995
regime_policy,MAE,0.1,0.15,
regime_policy,MAE,0.15,0.2,
regime_policy,MAE,0.2,0.25,
regime_policy,MAE,0.25,0.3,
regime_policy,MAE,0.3,0.35,
regime_policy,MAE,0.35,0.4,
regime_policy,MAE,0.4,0.45,
regime_policy,MAE,0.45,0.5,
regime_policy,MAE,0.5,0.55,
regime_policy,MAE,0.55,0.6,
regime_policy,Corr,0.0,0.1,-0.4070000000000007
regime_policy,Corr,0.1,0.15,
regime_policy,Corr,0.15,0.2,
regime_policy,Corr,0.2,0.25,
regime_policy,Corr,0.25,0.3,
regime_policy,Corr,0.3,0.35,
regime_policy,Corr,0.35,0.4,
regime_policy,Corr,0.4,0.45,
regime_policy,Corr,0.45,0.5,
regime_policy,Corr,0.5,0.55,
regime_policy,Corr,0.55,0.6,
regime_policy,Loss,0.0,0.1,0.46700000000000075
regime_policy,Loss,0.1,0.15,
regime_policy,Loss,0.15,0.2,
regime_policy,Loss,0.2,0.25,
regime_policy,Loss,0.25,0.3,
regime_policy,Loss,0.3,0.35,
regime_policy,Loss,0.35,0.4,
regime_policy,Loss,0.4,0.45,
regime_policy,Loss,0.45,0.5,
regime_policy,Loss,0.5,0.55,
regime_policy,Loss,0.55,0.6,
